long,lat,name,description,fid,ID,ID_SHAPE,ID_PART,ID_POINT,CLOCKWISE,LAKE,layer,path
-0.522329,52.86253,NE132,,58,2/0/3,2,0,3,Y,N,sites-2,/home/will/Documents/field_sites/knepp-etal/Shapefiles/sites-2.shp|layername=sites-2
-0.514794,52.86329,,,59,3/0/0,3,0,0,Y,N,sites-2,/home/will/Documents/field_sites/knepp-etal/Shapefiles/sites-2.shp|layername=sites-2
-0.515723,52.862598,,,60,3/0/1,3,0,1,Y,N,sites-2,/home/will/Documents/field_sites/knepp-etal/Shapefiles/sites-2.shp|layername=sites-2
-0.516216,52.863447,NE211,,61,3/0/2,3,0,2,Y,N,sites-2,/home/will/Documents/field_sites/knepp-etal/Shapefiles/sites-2.shp|layername=sites-2
-0.514794,52.86329,NE212,,62,3/0/3,3,0,3,Y,N,sites-2,/home/will/Documents/field_sites/knepp-etal/Shapefiles/sites-2.shp|layername=sites-2
-0.511967,52.862978,,,63,4/0/0,4,0,0,Y,N,sites-2,/home/will/Documents/field_sites/knepp-etal/Shapefiles/sites-2.shp|layername=sites-2
-0.512895,52.862287,NE223,,64,4/0/1,4,0,1,Y,N,sites-2,/home/will/Documents/field_sites/knepp-etal/Shapefiles/sites-2.shp|layername=sites-2
-0.513389,52.863135,NE221,,65,4/0/2,4,0,2,Y,N,sites-2,/home/will/Documents/field_sites/knepp-etal/Shapefiles/sites-2.shp|layername=sites-2
-0.511967,52.862978,NE222,,66,4/0/3,4,0,3,Y,N,sites-2,/home/will/Documents/field_sites/knepp-etal/Shapefiles/sites-2.shp|layername=sites-2
-0.513813,52.861582,,,67,5/0/0,5,0,0,Y,N,sites-2,/home/will/Documents/field_sites/knepp-etal/Shapefiles/sites-2.shp|layername=sites-2
-0.514742,52.86089,NE233,,68,5/0/1,5,0,1,Y,N,sites-2,/home/will/Documents/field_sites/knepp-etal/Shapefiles/sites-2.shp|layername=sites-2
-0.515235,52.861738,NE231,,69,5/0/2,5,0,2,Y,N,sites-2,/home/will/Documents/field_sites/knepp-etal/Shapefiles/sites-2.shp|layername=sites-2
-0.513813,52.861582,NE232,,70,5/0/3,5,0,3,Y,N,sites-2,/home/will/Documents/field_sites/knepp-etal/Shapefiles/sites-2.shp|layername=sites-2
-0.517511,52.858825,,,75,7/0/0,7,0,0,Y,N,sites-2,/home/will/Documents/field_sites/knepp-etal/Shapefiles/sites-2.shp|layername=sites-2
-0.518439,52.858134,NE323,,76,7/0/1,7,0,1,Y,N,sites-2,/home/will/Documents/field_sites/knepp-etal/Shapefiles/sites-2.shp|layername=sites-2
-0.518933,52.858982,NE321,,77,7/0/2,7,0,2,Y,N,sites-2,/home/will/Documents/field_sites/knepp-etal/Shapefiles/sites-2.shp|layername=sites-2
-0.517511,52.858825,NE322,,78,7/0/3,7,0,3,Y,N,sites-2,/home/will/Documents/field_sites/knepp-etal/Shapefiles/sites-2.shp|layername=sites-2
-0.519373,52.857439,,,79,8/0/0,8,0,0,Y,N,sites-2,/home/will/Documents/field_sites/knepp-etal/Shapefiles/sites-2.shp|layername=sites-2
-0.520301,52.856747,NE333,,80,8/0/1,8,0,1,Y,N,sites-2,/home/will/Documents/field_sites/knepp-etal/Shapefiles/sites-2.shp|layername=sites-2
-0.520795,52.857596,NE331,,81,8/0/2,8,0,2,Y,N,sites-2,/home/will/Documents/field_sites/knepp-etal/Shapefiles/sites-2.shp|layername=sites-2
-0.519373,52.857439,NE332,,82,8/0/3,8,0,3,Y,N,sites-2,/home/will/Documents/field_sites/knepp-etal/Shapefiles/sites-2.shp|layername=sites-2
-0.519008,52.861373,,,83,0/0/0,0,0,0,Y,N,sites-2,/home/will/Documents/field_sites/knepp-etal/Shapefiles/sites-2.shp|layername=sites-2
-0.52043,52.86153,,,85,0/0/2,0,0,2,Y,N,sites-2,/home/will/Documents/field_sites/knepp-etal/Shapefiles/sites-2.shp|layername=sites-2
-0.517572,52.861216,,,86,1/0/0,1,0,0,Y,N,sites-2,/home/will/Documents/field_sites/knepp-etal/Shapefiles/sites-2.shp|layername=sites-2
-0.518501,52.860524,,,87,1/0/1,1,0,1,Y,N,sites-2,/home/will/Documents/field_sites/knepp-etal/Shapefiles/sites-2.shp|layername=sites-2
-0.517572,52.861216,,,88,1/0/3,1,0,3,Y,N,sites-2,/home/will/Documents/field_sites/knepp-etal/Shapefiles/sites-2.shp|layername=sites-2
-0.518075,52.862066,,,89,2/0/0,2,0,0,Y,N,sites-2,/home/will/Documents/field_sites/knepp-etal/Shapefiles/sites-2.shp|layername=sites-2
-0.519003,52.861374,,,90,2/0/1,2,0,1,Y,N,sites-2,/home/will/Documents/field_sites/knepp-etal/Shapefiles/sites-2.shp|layername=sites-2
-0.519497,52.862223,,,91,2/0/2,2,0,2,Y,N,sites-2,/home/will/Documents/field_sites/knepp-etal/Shapefiles/sites-2.shp|layername=sites-2
-0.518075,52.862066,,,92,2/0/3,2,0,3,Y,N,sites-2,/home/will/Documents/field_sites/knepp-etal/Shapefiles/sites-2.shp|layername=sites-2
-0.542561,52.852293,,,93,0/0/0,0,0,0,Y,N,sites-3,/home/will/Documents/field_sites/knepp-etal/Shapefiles/sites-3.shp|layername=sites-3
-0.54349,52.851601,S113,,94,0/0/1,0,0,1,Y,N,sites-3,/home/will/Documents/field_sites/knepp-etal/Shapefiles/sites-3.shp|layername=sites-3
-0.543905,52.852555,S111,,95,0/0/2,0,0,2,Y,N,sites-3,/home/will/Documents/field_sites/knepp-etal/Shapefiles/sites-3.shp|layername=sites-3
-0.542561,52.852293,S112,,96,0/0/3,0,0,3,Y,N,sites-3,/home/will/Documents/field_sites/knepp-etal/Shapefiles/sites-3.shp|layername=sites-3
-0.539728,52.851978,,,97,1/0/0,1,0,0,Y,N,sites-3,/home/will/Documents/field_sites/knepp-etal/Shapefiles/sites-3.shp|layername=sites-3
-0.540656,52.851286,S123,,98,1/0/1,1,0,1,Y,N,sites-3,/home/will/Documents/field_sites/knepp-etal/Shapefiles/sites-3.shp|layername=sites-3
-0.54115,52.852135,S121,,99,1/0/2,1,0,2,Y,N,sites-3,/home/will/Documents/field_sites/knepp-etal/Shapefiles/sites-3.shp|layername=sites-3
-0.539728,52.851978,S122,,100,1/0/3,1,0,3,Y,N,sites-3,/home/will/Documents/field_sites/knepp-etal/Shapefiles/sites-3.shp|layername=sites-3
-0.541569,52.850591,,,101,2/0/0,2,0,0,Y,N,sites-3,/home/will/Documents/field_sites/knepp-etal/Shapefiles/sites-3.shp|layername=sites-3
-0.542497,52.849899,S133,,102,2/0/1,2,0,1,Y,N,sites-3,/home/will/Documents/field_sites/knepp-etal/Shapefiles/sites-3.shp|layername=sites-3
-0.542991,52.850748,S131,,103,2/0/2,2,0,2,Y,N,sites-3,/home/will/Documents/field_sites/knepp-etal/Shapefiles/sites-3.shp|layername=sites-3
-0.541569,52.850591,S132,,104,2/0/3,2,0,3,Y,N,sites-3,/home/will/Documents/field_sites/knepp-etal/Shapefiles/sites-3.shp|layername=sites-3
-0.534035,52.851351,,,105,3/0/0,3,0,0,Y,N,sites-3,/home/will/Documents/field_sites/knepp-etal/Shapefiles/sites-3.shp|layername=sites-3
-0.534963,52.850659,S213,,106,3/0/1,3,0,1,Y,N,sites-3,/home/will/Documents/field_sites/knepp-etal/Shapefiles/sites-3.shp|layername=sites-3
-0.535457,52.851508,,,107,3/0/2,3,0,2,Y,N,sites-3,/home/will/Documents/field_sites/knepp-etal/Shapefiles/sites-3.shp|layername=sites-3
-0.534035,52.851351,S212,,108,3/0/3,3,0,3,Y,N,sites-3,/home/will/Documents/field_sites/knepp-etal/Shapefiles/sites-3.shp|layername=sites-3
-0.531207,52.851039,,,109,4/0/0,4,0,0,Y,N,sites-3,/home/will/Documents/field_sites/knepp-etal/Shapefiles/sites-3.shp|layername=sites-3
-0.532135,52.850348,S223,,110,4/0/1,4,0,1,Y,N,sites-3,/home/will/Documents/field_sites/knepp-etal/Shapefiles/sites-3.shp|layername=sites-3
-0.532629,52.851196,S221,,111,4/0/2,4,0,2,Y,N,sites-3,/home/will/Documents/field_sites/knepp-etal/Shapefiles/sites-3.shp|layername=sites-3
-0.531207,52.851039,S222,,112,4/0/3,4,0,3,Y,N,sites-3,/home/will/Documents/field_sites/knepp-etal/Shapefiles/sites-3.shp|layername=sites-3
-0.533054,52.849643,,,113,5/0/0,5,0,0,Y,N,sites-3,/home/will/Documents/field_sites/knepp-etal/Shapefiles/sites-3.shp|layername=sites-3
-0.533982,52.848951,,,114,5/0/1,5,0,1,Y,N,sites-3,/home/will/Documents/field_sites/knepp-etal/Shapefiles/sites-3.shp|layername=sites-3
-0.534476,52.8498,S231,,115,5/0/2,5,0,2,Y,N,sites-3,/home/will/Documents/field_sites/knepp-etal/Shapefiles/sites-3.shp|layername=sites-3
-0.533054,52.849643,S232,,116,5/0/3,5,0,3,Y,N,sites-3,/home/will/Documents/field_sites/knepp-etal/Shapefiles/sites-3.shp|layername=sites-3
-0.539606,52.847202,,,117,6/0/0,6,0,0,Y,N,sites-3,/home/will/Documents/field_sites/knepp-etal/Shapefiles/sites-3.shp|layername=sites-3
-0.540534,52.84651,S313,,118,6/0/1,6,0,1,Y,N,sites-3,/home/will/Documents/field_sites/knepp-etal/Shapefiles/sites-3.shp|layername=sites-3
-0.541028,52.847358,S311,,119,6/0/2,6,0,2,Y,N,sites-3,/home/will/Documents/field_sites/knepp-etal/Shapefiles/sites-3.shp|layername=sites-3
-0.539606,52.847202,S312,,120,6/0/3,6,0,3,Y,N,sites-3,/home/will/Documents/field_sites/knepp-etal/Shapefiles/sites-3.shp|layername=sites-3
-0.538173,52.847043,,,123,7/0/2,7,0,2,Y,N,sites-3,/home/will/Documents/field_sites/knepp-etal/Shapefiles/sites-3.shp|layername=sites-3
-0.538248,52.849434,,,129,0/0/0,0,0,0,Y,N,sites-3,/home/will/Documents/field_sites/knepp-etal/Shapefiles/sites-3.shp|layername=sites-3
-0.539176,52.848742,,,130,0/0/1,0,0,1,Y,N,sites-3,/home/will/Documents/field_sites/knepp-etal/Shapefiles/sites-3.shp|layername=sites-3
-0.53967,52.849591,,,131,0/0/2,0,0,2,Y,N,sites-3,/home/will/Documents/field_sites/knepp-etal/Shapefiles/sites-3.shp|layername=sites-3
-0.536813,52.849277,,,132,1/0/0,1,0,0,Y,N,sites-3,/home/will/Documents/field_sites/knepp-etal/Shapefiles/sites-3.shp|layername=sites-3
-0.537741,52.848585,,,133,1/0/1,1,0,1,Y,N,sites-3,/home/will/Documents/field_sites/knepp-etal/Shapefiles/sites-3.shp|layername=sites-3
-0.536813,52.849277,,,134,1/0/3,1,0,3,Y,N,sites-3,/home/will/Documents/field_sites/knepp-etal/Shapefiles/sites-3.shp|layername=sites-3
-0.537315,52.850127,,,135,2/0/0,2,0,0,Y,N,sites-3,/home/will/Documents/field_sites/knepp-etal/Shapefiles/sites-3.shp|layername=sites-3
-0.538244,52.849435,,,136,2/0/1,2,0,1,Y,N,sites-3,/home/will/Documents/field_sites/knepp-etal/Shapefiles/sites-3.shp|layername=sites-3
-0.538737,52.850284,,,137,2/0/2,2,0,2,Y,N,sites-3,/home/will/Documents/field_sites/knepp-etal/Shapefiles/sites-3.shp|layername=sites-3
-0.537315,52.850127,,,138,2/0/3,2,0,3,Y,N,sites-3,/home/will/Documents/field_sites/knepp-etal/Shapefiles/sites-3.shp|layername=sites-3
-0.550912,52.867757,,,139,0/0/0,0,0,0,Y,N,sites-scratch,/home/will/Documents/field_sites/knepp-etal/Shapefiles/sites-scratch.shp|layername=sites-scratch
-0.55184,52.867066,NW113,,140,0/0/1,0,0,1,Y,N,sites-scratch,/home/will/Documents/field_sites/knepp-etal/Shapefiles/sites-scratch.shp|layername=sites-scratch
-0.552256,52.86802,NW111,,141,0/0/2,0,0,2,Y,N,sites-scratch,/home/will/Documents/field_sites/knepp-etal/Shapefiles/sites-scratch.shp|layername=sites-scratch
-0.550912,52.867757,NW112,,142,0/0/3,0,0,3,Y,N,sites-scratch,/home/will/Documents/field_sites/knepp-etal/Shapefiles/sites-scratch.shp|layername=sites-scratch
-0.548079,52.867442,,,143,1/0/0,1,0,0,Y,N,sites-scratch,/home/will/Documents/field_sites/knepp-etal/Shapefiles/sites-scratch.shp|layername=sites-scratch
-0.549007,52.866751,NW123,,144,1/0/1,1,0,1,Y,N,sites-scratch,/home/will/Documents/field_sites/knepp-etal/Shapefiles/sites-scratch.shp|layername=sites-scratch
-0.549501,52.867599,NW121,,145,1/0/2,1,0,2,Y,N,sites-scratch,/home/will/Documents/field_sites/knepp-etal/Shapefiles/sites-scratch.shp|layername=sites-scratch
-0.548079,52.867442,NW122,,146,1/0/3,1,0,3,Y,N,sites-scratch,/home/will/Documents/field_sites/knepp-etal/Shapefiles/sites-scratch.shp|layername=sites-scratch
-0.54992,52.866056,,,147,2/0/0,2,0,0,Y,N,sites-scratch,/home/will/Documents/field_sites/knepp-etal/Shapefiles/sites-scratch.shp|layername=sites-scratch
-0.550848,52.865364,NW133,,148,2/0/1,2,0,1,Y,N,sites-scratch,/home/will/Documents/field_sites/knepp-etal/Shapefiles/sites-scratch.shp|layername=sites-scratch
-0.551342,52.866213,NW131,,149,2/0/2,2,0,2,Y,N,sites-scratch,/home/will/Documents/field_sites/knepp-etal/Shapefiles/sites-scratch.shp|layername=sites-scratch
-0.54992,52.866056,NW132,,150,2/0/3,2,0,3,Y,N,sites-scratch,/home/will/Documents/field_sites/knepp-etal/Shapefiles/sites-scratch.shp|layername=sites-scratch
-0.542386,52.866816,,,151,3/0/0,3,0,0,Y,N,sites-scratch,/home/will/Documents/field_sites/knepp-etal/Shapefiles/sites-scratch.shp|layername=sites-scratch
-0.543314,52.866124,NW213,,152,3/0/1,3,0,1,Y,N,sites-scratch,/home/will/Documents/field_sites/knepp-etal/Shapefiles/sites-scratch.shp|layername=sites-scratch
-0.543808,52.866972,NW211,,153,3/0/2,3,0,2,Y,N,sites-scratch,/home/will/Documents/field_sites/knepp-etal/Shapefiles/sites-scratch.shp|layername=sites-scratch
-0.542386,52.866816,,,154,3/0/3,3,0,3,Y,N,sites-scratch,/home/will/Documents/field_sites/knepp-etal/Shapefiles/sites-scratch.shp|layername=sites-scratch
-0.539558,52.866504,,,155,4/0/0,4,0,0,Y,N,sites-scratch,/home/will/Documents/field_sites/knepp-etal/Shapefiles/sites-scratch.shp|layername=sites-scratch
-0.540486,52.865812,NW223,,156,4/0/1,4,0,1,Y,N,sites-scratch,/home/will/Documents/field_sites/knepp-etal/Shapefiles/sites-scratch.shp|layername=sites-scratch
-0.54098,52.866661,NW221,,157,4/0/2,4,0,2,Y,N,sites-scratch,/home/will/Documents/field_sites/knepp-etal/Shapefiles/sites-scratch.shp|layername=sites-scratch
-0.539558,52.866504,NW222,,158,4/0/3,4,0,3,Y,N,sites-scratch,/home/will/Documents/field_sites/knepp-etal/Shapefiles/sites-scratch.shp|layername=sites-scratch
-0.541405,52.865107,,,159,5/0/0,5,0,0,Y,N,sites-scratch,/home/will/Documents/field_sites/knepp-etal/Shapefiles/sites-scratch.shp|layername=sites-scratch
-0.542333,52.864416,NW233,,160,5/0/1,5,0,1,Y,N,sites-scratch,/home/will/Documents/field_sites/knepp-etal/Shapefiles/sites-scratch.shp|layername=sites-scratch
-0.542827,52.865264,NW231,,161,5/0/2,5,0,2,Y,N,sites-scratch,/home/will/Documents/field_sites/knepp-etal/Shapefiles/sites-scratch.shp|layername=sites-scratch
-0.541405,52.865107,NW232,,162,5/0/3,5,0,3,Y,N,sites-scratch,/home/will/Documents/field_sites/knepp-etal/Shapefiles/sites-scratch.shp|layername=sites-scratch
-0.547957,52.862666,,,163,6/0/0,6,0,0,Y,N,sites-scratch,/home/will/Documents/field_sites/knepp-etal/Shapefiles/sites-scratch.shp|layername=sites-scratch
-0.548885,52.861975,,,164,6/0/1,6,0,1,Y,N,sites-scratch,/home/will/Documents/field_sites/knepp-etal/Shapefiles/sites-scratch.shp|layername=sites-scratch
-0.549378,52.862823,NW311,,165,6/0/2,6,0,2,Y,N,sites-scratch,/home/will/Documents/field_sites/knepp-etal/Shapefiles/sites-scratch.shp|layername=sites-scratch
-0.547957,52.862666,NW312,,166,6/0/3,6,0,3,Y,N,sites-scratch,/home/will/Documents/field_sites/knepp-etal/Shapefiles/sites-scratch.shp|layername=sites-scratch
-0.545102,52.862351,,,167,7/0/0,7,0,0,Y,N,sites-scratch,/home/will/Documents/field_sites/knepp-etal/Shapefiles/sites-scratch.shp|layername=sites-scratch
-0.54603,52.861659,,,168,7/0/1,7,0,1,Y,N,sites-scratch,/home/will/Documents/field_sites/knepp-etal/Shapefiles/sites-scratch.shp|layername=sites-scratch
-0.546524,52.862508,,,169,7/0/2,7,0,2,Y,N,sites-scratch,/home/will/Documents/field_sites/knepp-etal/Shapefiles/sites-scratch.shp|layername=sites-scratch
-0.545102,52.862351,NW322,,170,7/0/3,7,0,3,Y,N,sites-scratch,/home/will/Documents/field_sites/knepp-etal/Shapefiles/sites-scratch.shp|layername=sites-scratch
-0.546964,52.860965,,,171,8/0/0,8,0,0,Y,N,sites-scratch,/home/will/Documents/field_sites/knepp-etal/Shapefiles/sites-scratch.shp|layername=sites-scratch
-0.547892,52.860273,NW333,,172,8/0/1,8,0,1,Y,N,sites-scratch,/home/will/Documents/field_sites/knepp-etal/Shapefiles/sites-scratch.shp|layername=sites-scratch
-0.548386,52.861121,,,173,8/0/2,8,0,2,Y,N,sites-scratch,/home/will/Documents/field_sites/knepp-etal/Shapefiles/sites-scratch.shp|layername=sites-scratch
-0.546964,52.860965,NW332,,174,8/0/3,8,0,3,Y,N,sites-scratch,/home/will/Documents/field_sites/knepp-etal/Shapefiles/sites-scratch.shp|layername=sites-scratch
-0.546599,52.864899,,,175,0/0/0,0,0,0,Y,N,sites-scratch,/home/will/Documents/field_sites/knepp-etal/Shapefiles/sites-scratch.shp|layername=sites-scratch
-0.547527,52.864207,,,176,0/0/1,0,0,1,Y,N,sites-scratch,/home/will/Documents/field_sites/knepp-etal/Shapefiles/sites-scratch.shp|layername=sites-scratch
